Id,Tweets,Following,Follower,Likes
Amorphis,4168,1600,77111,4264
Arch Enemy,6100,44,234035,9023
Belphegor,1459,31,57984,1
Deserted Fear,31,67,180,24
Dirkschneider,1308,505,525,9246
Doro,25729,32664,2712495,4502
Epica,2434,22,210410,93
Firewind,3154,8764,15276,972
In Extremo,784,34,322,571
Knorkator,82,56,1089,91
Nightwish,851,9,254778,14
Running Wild,2216,232,24244,596
Sepultura,4314,153,119593,448
Watain,0,0,127,0
